state,Year,revenue,valueAdded,scenario
NE,2100,12530307.32,6891669.023,1
TX,2018,742006.9354,427911.3093,2
TX,2019,1564726.712,902827.4065,2
TX,2020,2312335.891,1334772.074,2
TX,2021,3002476.61,1733067.299,2
TX,2022,3777658.869,2180986.256,2
TX,2023,4520147.465,2609653.796,2
TX,2024,5312317.65,3067337.788,2
TX,2025,6144288.006,3548005.024,2
TX,2026,7118699.806,4111240.372,2
TX,2027,8133423.096,4698102.649,2
TX,2028,9228320.15,5331622.402,2
TX,2029,10432938.64,6028854.27,2
TX,2030,11672583.87,6746281.156,2
TX,2031,12735848.34,7361548.468,2
TX,2032,13727997.39,7935675.466,2
TX,2033,14777627.46,8542659.406,2
TX,2034,15653898.77,9049407.661,2
TX,2035,16568290.3,9578031.202,2
TX,2036,17491154.99,10111955.07,2
TX,2037,18460399.46,10672890.9,2
TX,2038,19301513.64,11159737.77,2
TX,2039,20105508.18,11624847.65,2
TX,2040,20981857.99,12132011.36,2
TX,2041,21826026.17,12620464.17,2
TX,2042,22751701.64,13156020.59,2
TX,2043,23635000.22,13667228.42,2
TX,2044,24572846.75,14209959,2
TX,2045,25377983.1,14676141.14,2
TX,2046,26023790,15050098.18,2
TX,2047,26555414.52,15357661.99,2
TX,2048,27101920.1,15674037.38,2
TX,2049,27600157.95,15962329.42,2
TX,2050,28066620.16,16232380.5,2
TX,2051,28571104.75,16524315.41,2
TX,2052,29120154.02,16842086.39,2
TX,2053,29653817.98,17151085.16,2
TX,2054,30153083.83,17440049.25,2
TX,2055,30603558.12,17700654.89,2
TX,2056,31128628.45,18004547.34,2
TX,2057,31594849,18274450.48,2
TX,2058,31964407.11,18488375.66,2
TX,2059,32381711.55,18729896.82,2
TX,2060,32626501.51,18871436.74,2
TX,2061,32929137.63,19046490.25,2
TX,2062,33115596.1,19154246.77,2
TX,2063,33320155.85,19272607.92,2
TX,2064,33521379.09,19388863.04,2
TX,2065,33662605.1,19470459.79,2
TX,2066,33830305.02,19567358.27,2
TX,2067,34050996.8,19695056.01,2
TX,2068,34200035.81,19781192.14,2
TX,2069,34387325.14,19889534.58,2
TX,2070,34574536.31,19997710,2
TX,2071,34760892.45,20105363.51,2
TX,2072,34907237.34,20189802.14,2
TX,2073,35108188.15,20305852.86,2
TX,2074,35271720.73,20400453.06,2
TX,2075,35462463.87,20510773.74,2
TX,2076,35613634.8,20598179.16,2
TX,2077,35769690.84,20688400.83,2
TX,2078,35898172.72,20762552.13,2
TX,2079,35999698.06,20821196.1,2
TX,2080,36148002.55,20906958.54,2
TX,2081,36248287.65,20964818.05,2
TX,2082,36382820.93,21042630.07,2
TX,2083,36500202.15,21110501.58,2
TX,2084,36630412.1,21185803.29,2
TX,2085,36745140.6,21252120.62,2
TX,2086,36850439.67,21313031.54,2
TX,2087,36952905.05,21372283.46,2
TX,2088,37049888.4,21428411.28,2
TX,2089,37141371.78,21481274.11,2
TX,2090,37226779.71,21530665.03,2
TX,2091,37317730.74,21583230.39,2
TX,2092,37447164.5,21658009.28,2
TX,2093,37536618.72,21709652.16,2
TX,2094,37655799.26,21778656.68,2
TX,2095,37764012.32,21841252.06,2
TX,2096,37866694.28,21900681.67,2
TX,2097,37975244.07,21963530.61,2
TX,2098,38088182.29,22028951.36,2
TX,2099,38192331.17,22089243.8,2
TX,2100,38280025.31,22139983.89,2
KS,2018,52631.54727,29999.98194,2
KS,2019,116235.5469,66253.80155,2
KS,2020,172933.0747,98570.47177,2
KS,2021,234717.8221,133787.3175,2
KS,2022,288666.0464,164535.7352,2
KS,2023,360549.2055,205503.7268,2
KS,2024,427223.5361,243508.0953,2
KS,2025,501593.3069,285898.8646,2
KS,2026,555931.3762,316869.8377,2
KS,2027,615834.6519,351012.7491,2
KS,2028,671703.3835,382857.9261,2
KS,2029,754352.4047,429965.9125,2
KS,2030,820717.1144,467792.301,2
KS,2031,906322.2057,516585.4776,2
KS,2032,968933.6484,552264.9063,2
KS,2033,1013468.667,577649.867,2
KS,2034,1086538.56,619295.3344,2
KS,2035,1149168.142,654988.3256,2
KS,2036,1232223.258,702325.8285,2
KS,2037,1315864.228,749993.1239,2
KS,2038,1378560.933,785722.4185,2
KS,2039,1500355.516,855134.3956,2
KS,2040,1580260.598,900665.0984,2
KS,2041,1659975.512,946077.2756,2
KS,2042,1783125.931,1016250.108,2
KS,2043,1903037.146,1084584.305,2
KS,2044,1981141.007,1129063.737,2
KS,2045,2096028.272,1194531.023,2
KS,2046,2254586.997,1284818.338,2
KS,2047,2397625.168,1366248.926,2
KS,2048,2652510.137,1511458.38,2
KS,2049,2871552.425,1636211.182,2
KS,2050,3094527.634,1763078.063,2
KS,2051,3420151.36,1948486.009,2
KS,2052,3761653.883,2142812.725,2
KS,2053,4106685.468,2339201.346,2
KS,2054,4667999.19,2658875.498,2
KS,2055,5307577.068,3023164.211,2
KS,2056,5911087.777,3366768.256,2
KS,2057,6520166.177,3713728.61,2
KS,2058,7162236.232,4079400.505,2
KS,2059,7801347.25,4443367.433,2
KS,2060,8431478.716,4802041.159,2
KS,2061,9226391.645,5254836.442,2
KS,2062,10094866.57,5749535.251,2
KS,2063,10979828.33,6253559.765,2
KS,2064,11743765.33,6688681.907,2
KS,2065,12401526.17,7063258.092,2
KS,2066,12991219.55,7398963.501,2
KS,2067,13595028.26,7742794.418,2
KS,2068,14254916.89,8118497.23,2
KS,2069,14811721.11,8435577.566,2
KS,2070,15427911.1,8786494.596,2
KS,2071,16028169.76,9128393.722,2
KS,2072,16595563.46,9451494.48,2
KS,2073,17187503.59,9788561.944,2
KS,2074,17832066.19,10155511.55,2
KS,2075,18417032.03,10488471.65,2
KS,2076,19006545.41,10824103.82,2
KS,2077,19500571.06,11105308.86,2
KS,2078,20055935.8,11421579.73,2
KS,2079,20619009.94,11742213.76,2
KS,2080,21143096.23,12040686.64,2
KS,2081,21757704.99,12390722.26,2
KS,2082,22284431.05,12690721.66,2
KS,2083,22849267.27,13012372.65,2
KS,2084,23338461.96,13290851.34,2
KS,2085,23819612.37,13564659.96,2
KS,2086,24363246.11,13874117.56,2
KS,2087,24852639.9,14152696.91,2
KS,2088,25323987.45,14420926.24,2
KS,2089,25853020.38,14721926.38,2
KS,2090,26329989.49,14993380.03,2
KS,2091,26737227.18,15225139.38,2
KS,2092,27109977.07,15437231.78,2
KS,2093,27545994.71,15685258.55,2
KS,2094,27939979.99,15909514.44,2
KS,2095,28397791.84,16170106.71,2
KS,2096,28751371.89,16371197.67,2
KS,2097,29143931.25,16594646.5,2
KS,2098,29484920,16788654.69,2
KS,2099,29858878.85,17001553.95,2
KS,2100,30192918.98,17191647.86,2
OK,2018,55734.73223,31210.28032,2
OK,2019,80456.37193,45050.18654,2
OK,2020,124251.8785,69561.86494,2
OK,2021,152891.2121,85594.511,2
OK,2022,209632.1969,117347.9457,2
OK,2023,324114.65,181401.9913,2
OK,2024,482166.9341,269760.9105,2
OK,2025,616040.4806,344518.0704,2
OK,2026,777415.7346,434488.678,2
OK,2027,884792.3725,494459.2213,2
OK,2028,1067297.796,596473.423,2
OK,2029,1275746.601,712889.8804,2
OK,2030,1503226.763,840041.1157,2
OK,2031,1821138.8,1017704.228,2
OK,2032,2092134.811,1168979.745,2
OK,2033,2322224.33,1297450.547,2
OK,2034,2643745.742,1477204.609,2
OK,2035,2900199.287,1620396.728,2
OK,2036,3129188.223,1748257.914,2
OK,2037,3397437.196,1898081.702,2
OK,2038,3606413.058,2014725.362,2
OK,2039,3816540.839,2132080.898,2
OK,2040,4045750.688,2260051.503,2
OK,2041,4296673.246,2400101.341,2
OK,2042,4613784.312,2577223.706,2
OK,2043,4876625.142,2724085.09,2
OK,2044,5186865.799,2897506.586,2
OK,2045,5611754.067,3135117.732,2
OK,2046,6024224.379,3365702.786,2
OK,2047,6491830.358,3627324.126,2
OK,2048,6938005.877,3876926.463,2
OK,2049,7355000.365,4110250.872,2
OK,2050,7779354.325,4347658.26,2
OK,2051,8278199.474,4626831.885,2
OK,2052,8714416.387,4870796.967,2
OK,2053,9198928.197,5141781.384,2
OK,2054,9646509.238,5392243.6,2
OK,2055,10131286.98,5663463.117,2
OK,2056,10604309.06,5928122.339,2
OK,2057,11189248.65,6255518.606,2
OK,2058,11749608.51,6569029.392,2
OK,2059,12302352.57,6878359.439,2
OK,2060,12864536.77,7192846.827,2
OK,2061,13491557.66,7543606.928,2
OK,2062,14102285.55,7885339.206,2
OK,2063,14762042.24,8254552.305,2
OK,2064,15250082.88,8527625.914,2
OK,2065,15751593.47,8808141.113,2
OK,2066,16219747.81,9069983.418,2
OK,2067,16732872.94,9356898.314,2
OK,2068,17224911.6,9632086.947,2
OK,2069,17713655.15,9905488.444,2
OK,2070,18170216.05,10160811.85,2
OK,2071,18682899.54,10447445.35,2
OK,2072,19196137.08,10734463.54,2
OK,2073,19778032.16,11060002.95,2
OK,2074,20373552.72,11393231,2
OK,2075,20860165.02,11665522.25,2
OK,2076,21427602.35,11982928.2,2
OK,2077,22017311.89,12312907.94,2
OK,2078,22512242.42,12589842.36,2
OK,2079,23048135.42,12889785.58,2
OK,2080,23560506,13176540.45,2
OK,2081,24027428.31,13437878.34,2
OK,2082,24464754.79,13682588.03,2
OK,2083,24945635.57,13951732.05,2
OK,2084,25414387.09,14214068.54,2
OK,2085,25832268.49,14447903.68,2
OK,2086,26176824.32,14640740.66,2
OK,2087,26566011.62,14858539.43,2
OK,2088,26913981.17,15053222.71,2
OK,2089,27235124.2,15232986.14,2
OK,2090,27632744.93,15455524.25,2
OK,2091,27939086.51,15626852.65,2
OK,2092,28224067.86,15786218.64,2
OK,2093,28482832.4,15930997.67,2
OK,2094,28774091.55,16093999.52,2
OK,2095,29049889.3,16248272.81,2
OK,2096,29284701.37,16379706.66,2
OK,2097,29585271.3,16547884.72,2
OK,2098,29862115.31,16702781.58,2
OK,2099,30148379.12,16862979.87,2
OK,2100,30423991.75,17017225.45,2
NM,2018,71193.89475,45206.28983,2
NM,2019,148270.1302,94188.79598,2
NM,2020,229300.3426,145598.5385,2
NM,2021,298705.4135,189707.6498,2
NM,2022,374589.0655,237914.8935,2
NM,2023,443529.2025,281482.456,2
NM,2024,516320.4915,327651.1793,2
NM,2025,577226.001,365916.2736,2
NM,2026,642528.2999,407354.4183,2
NM,2027,709151.7395,449434.5049,2
NM,2028,772756.9126,489759.5872,2
NM,2029,818666.5715,518848.4783,2
NM,2030,859271.952,544529.1858,2
NM,2031,891944.7937,565013.4751,2
NM,2032,926683.8007,586954.2028,2
NM,2033,964747.5402,610843.2683,2
NM,2034,1002959.576,635002.347,2
NM,2035,1028834.993,651391.686,2
NM,2036,1060387.042,671158.0983,2
NM,2037,1090796.751,690350.5894,2
NM,2038,1122841.495,710406.725,2
NM,2039,1156179.642,731602.9077,2
NM,2040,1186686.985,750736.2833,2
NM,2041,1211204.914,766140.6591,2
NM,2042,1235414.202,781301.7972,2
NM,2043,1260551.77,797104.5729,2
NM,2044,1281033.786,809814.1048,2
NM,2045,1307490.058,826435.0888,2
NM,2046,1327457.253,838913.4785,2
NM,2047,1353029.286,854866.2091,2
NM,2048,1370799.061,865946.4141,2
NM,2049,1393031.6,879872.1049,2
NM,2050,1421623.781,897851.3991,2
NM,2051,1443680.576,911672.9968,2
NM,2052,1469762.033,927968.7454,2
NM,2053,1493652.623,943029.5613,2
NM,2054,1514982.948,956417.0829,2
NM,2055,1537317.544,970331.8253,2
NM,2056,1555350.944,981640.0801,2
NM,2057,1575682.221,994460.2341,2
NM,2058,1590492.104,1003740.912,2
NM,2059,1607381.486,1014247.06,2
NM,2060,1630211.696,1028353.39,2
NM,2061,1647245.057,1038982.296,2
NM,2062,1668627.959,1052427.361,2
NM,2063,1693399.654,1067941.74,2
NM,2064,1706210.762,1075835.205,2
NM,2065,1727354.664,1089153.19,2
NM,2066,1753389.635,1105568.615,2
NM,2067,1765464.192,1113047.872,2
NM,2068,1774347.26,1118506.626,2
NM,2069,1796465.353,1132481.113,2
NM,2070,1806353.508,1138610.275,2
NM,2071,1817092.956,1145240.033,2
NM,2072,1833994.071,1155717.453,2
NM,2073,1848990.217,1165025.482,2
NM,2074,1859081.566,1171404.052,2
NM,2075,1870604.029,1178592.694,2
NM,2076,1879630.617,1184189.713,2
NM,2077,1889049.35,1190052.61,2
NM,2078,1903373.035,1198851.679,2
NM,2079,1914579.417,1205836.85,2
NM,2080,1924618.833,1212072.716,2
NM,2081,1931287.48,1216193.728,2
NM,2082,1939479.25,1221346.542,2
NM,2083,1947197.929,1226071.002,2
NM,2084,1953030.058,1229717.566,2
NM,2085,1959971.601,1233967.836,2
NM,2086,1970909.633,1240908.248,2
NM,2087,1976843.949,1244563.863,2
NM,2088,1978660.093,1245647.779,2
NM,2089,1989241.284,1252245.805,2
NM,2090,2000842.566,1259542.623,2
NM,2091,2008110.088,1264162.469,2
NM,2092,2016479.797,1269310.672,2
NM,2093,2023038.968,1273418.731,2
NM,2094,2032986.264,1279587.429,2
NM,2095,2046219.016,1287928.589,2
NM,2096,2054730.627,1293191.516,2
NM,2097,2058151.957,1295310.84,2
NM,2098,2065547.52,1299941.704,2
NM,2099,2072473.91,1304199.147,2
NM,2100,2080941.459,1309574.503,2
CO,2018,13235.823,7676.777341,2
CO,2019,42690.87919,24760.70993,2
CO,2020,57028.96667,33076.80067,2
CO,2021,91032.28405,52798.72475,2
CO,2022,112626.8797,65323.5902,2
CO,2023,131173.7647,76080.78355,2
CO,2024,142679.409,82754.05721,2
CO,2025,167113.9155,96926.071,2
CO,2026,189397.3788,109850.4797,2
CO,2027,226151.1668,131167.6768,2
CO,2028,246002.3138,142681.342,2
CO,2029,284040.4594,164743.4664,2
CO,2030,309875.8554,179727.9961,2
CO,2031,344585.5959,199859.6456,2
CO,2032,379426.0778,220067.1251,2
CO,2033,411818.5927,238854.7838,2
CO,2034,436291.6048,253049.1308,2
CO,2035,469705.1085,272428.9629,2
CO,2036,512655.1081,297339.9627,2
CO,2037,563841.0287,327027.7966,2
CO,2038,585552.0519,339620.1901,2
CO,2039,623804.2811,361806.483,2
CO,2040,676910.4929,392608.0859,2
CO,2041,736874.9133,427387.4497,2
CO,2042,825524.0407,478803.9436,2
CO,2043,913334.7555,529734.1582,2
CO,2044,981277.9056,569141.1853,2
CO,2045,1076392.139,624307.4404,2
CO,2046,1172063.711,679796.9523,2
CO,2047,1293450.56,750201.3247,2
CO,2048,1456817.951,844954.4118,2
CO,2049,1562648.06,906335.875,2
CO,2050,1690001.337,980200.7755,2
CO,2051,1825766.558,1058944.604,2
CO,2052,1937582.951,1123798.112,2
CO,2053,2086430.792,1210129.859,2
CO,2054,2242837.161,1300845.553,2
CO,2055,2398172.828,1390940.24,2
CO,2056,2524103.295,1463979.911,2
CO,2057,2663536.596,1544851.226,2
CO,2058,2794392.719,1620747.777,2
CO,2059,2931424.195,1700226.033,2
CO,2060,3091521.523,1793082.483,2
CO,2061,3269489.917,1896304.152,2
CO,2062,3462051.606,2007989.931,2
CO,2063,3593256.23,2084088.613,2
CO,2064,3781146.498,2193064.969,2
CO,2065,3934059.849,2281754.712,2
CO,2066,4093083.544,2373988.455,2
CO,2067,4244611.513,2461874.678,2
CO,2068,4460975.426,2587365.747,2
CO,2069,4612584.163,2675298.814,2
CO,2070,4823670.452,2797728.862,2
CO,2071,5007898.534,2904581.15,2
CO,2072,5212048.063,3022987.876,2
CO,2073,5418938.971,3142984.603,2
CO,2074,5634604.95,3268070.871,2
CO,2075,5842472.122,3388633.831,2
CO,2076,6089148.611,3531706.194,2
CO,2077,6344097.444,3679576.517,2
CO,2078,6573961.798,3812897.843,2
CO,2079,6868834.038,3983923.742,2
CO,2080,7154935.574,4149862.633,2
CO,2081,7472852.818,4334254.635,2
CO,2082,7783713.05,4514553.569,2
CO,2083,8105133.799,4700977.603,2
CO,2084,8445553.106,4898420.802,2
CO,2085,8817687.386,5114258.684,2
CO,2086,9211521.547,5342682.497,2
CO,2087,9587284.649,5560625.096,2
CO,2088,9928494.63,5758526.886,2
CO,2089,10294406.84,5970755.968,2
CO,2090,10762377.48,6242178.938,2
CO,2091,11179162.25,6483914.107,2
CO,2092,11551829.15,6700060.908,2
CO,2093,11949572.1,6930751.817,2
CO,2094,12298496.06,7133127.714,2
CO,2095,12664510.37,7345416.016,2
CO,2096,13051022.64,7569593.132,2
CO,2097,13403336.21,7773935.002,2
CO,2098,13784964.84,7995279.608,2
CO,2099,14143445.7,8203198.506,2
CO,2100,14468071.62,8391481.538,2
NE,2018,27771.58511,15421.07907,2
NE,2019,51660.03749,28706.96292,2
NE,2020,96347.50218,53442.3868,2
NE,2021,129630.4523,71899.05913,2
NE,2022,150310.2193,83414.33132,2
NE,2023,173586.4999,96328.61651,2
NE,2024,187421.0699,104018.5622,2
NE,2025,201394.2759,111788.9042,2
NE,2026,214380.8454,119062.6222,2
NE,2027,254041.9655,141050.7302,2
NE,2028,288770.8292,160303.0793,2
NE,2029,337935.5051,187523.2438,2
NE,2030,375286.1546,208199.1141,2
NE,2031,418417.1922,232033.3034,2
NE,2032,438979.4195,243447.6393,2
NE,2033,487841.9212,270466.3751,2
NE,2034,522710.2175,289793.0776,2
NE,2035,543407.4846,301356.5819,2
NE,2036,607665.785,336816.3772,2
NE,2037,659742.2832,365569.2926,2
NE,2038,713816.8532,395456.6875,2
NE,2039,756441.9265,418992.6614,2
NE,2040,823845.647,456161.8652,2
NE,2041,885622.459,490279.7501,2
NE,2042,956504.7712,529318.7932,2
NE,2043,1039499.057,575088.4673,2
NE,2044,1129803.443,624847.943,2
NE,2045,1196662.269,661721.0422,2
NE,2046,1368382.604,756310.1764,2
NE,2047,1525858.671,843136.0252,2
NE,2048,1711011.836,945159.4618,2
NE,2049,1815599.194,1002879.316,2
NE,2050,1989053.648,1098528.918,2
NE,2051,2076514.839,1146818.779,2
NE,2052,2165560.926,1195927.627,2
NE,2053,2245495.786,1240064.535,2
NE,2054,2329778.77,1286576.783,2
NE,2055,2421094.751,1336980.834,2
NE,2056,2509501.618,1385714.046,2
NE,2057,2600292.008,1435767.004,2
NE,2058,2693082.859,1486965.479,2
NE,2059,2808500.311,1550617.584,2
NE,2060,2933748.735,1619613.745,2
NE,2061,3026962.766,1671028.336,2
NE,2062,3181211.029,1756010.554,2
NE,2063,3321634.648,1833376.308,2
NE,2064,3458580.949,1908756.158,2
NE,2065,3558406.558,1963773.738,2
NE,2066,3674804.408,2027893.832,2
NE,2067,3800949.694,2097415.29,2
NE,2068,3948800.67,2178869.668,2
NE,2069,4125684.147,2276286.411,2
NE,2070,4286492.422,2364810.156,2
NE,2071,4443409.968,2451173.437,2
NE,2072,4583475.014,2528317.793,2
NE,2073,4735794.055,2612196.422,2
NE,2074,4927138.517,2717533.219,2
NE,2075,5089227.875,2806782.614,2
NE,2076,5202790.959,2869330.942,2
NE,2077,5333242.106,2941208.85,2
NE,2078,5451139.212,3006104.415,2
NE,2079,5578278.007,3076091.824,2
NE,2080,5683741.697,3134220.576,2
NE,2081,5795737.118,3195841.443,2
NE,2082,5885953.312,3245559.38,2
NE,2083,6000231.12,3308485.663,2
NE,2084,6089913.682,3357907.112,2
NE,2085,6187034.352,3411431.713,2
NE,2086,6272931.353,3458748.011,2
NE,2087,6388036.109,3522105.656,2
NE,2088,6495375.568,3581286.539,2
NE,2089,6580539.394,3628225.762,2
NE,2090,6687608.491,3687230.693,2
NE,2091,6749836.433,3721575.098,2
NE,2092,6816510.339,3758330.868,2
NE,2093,6889601.238,3798688.894,2
NE,2094,6953650.906,3834018.177,2
NE,2095,7075351.27,3901108.55,2
NE,2096,7171727.69,3954203.34,2
NE,2097,7248487.892,3996510.463,2
NE,2098,7366796.912,4061681.73,2
NE,2099,7494858.022,4132273.123,2
NE,2100,7577512.849,4177870.926,2
