County,StartingIrr,FinishingHectares,Percent,Type,PercIrrtoNonIrr,PercNonIrrtoPast,Scenario1,Scenario2,Difference,PercDiff
5_Dallam_TX,116450,56040,48,IrrToNon,65.7,27.9,3031785080,2243459122,788325958,26.00203963
5_Dallam_TX,116450,21721,18,IrrToPast,65.7,27.9,3031785080,2243459122,788325958,26.00203963
5_Dallam_TX,116450,40590,34,Irr,65.7,27.9,3031785080,2243459122,788325958,26.00203963
1_Dundy_NE,52866.67,9069.582,17,IrrToNon,29.6,42.3,488820290,268002433,220817857,45.17362751
1_Dundy_NE,52866.67,6635.397,13,IrrToPast,29.6,42.3,488820290,268002433,220817857,45.17362751
1_Dundy_NE,52866.67,37285.45,70,Irr,29.6,42.3,488820290,268002433,220817857,45.17362751
3_Finney_KS,110750.76,51631.851,47,IrrToNon,56.7,17.9,1086610526,935337299,151273227,13.92156834
3_Finney_KS,110750.76,11245.116,10,IrrToPast,56.7,17.9,1086610526,935337299,151273227,13.92156834
3_Finney_KS,110750.76,47965.65,43,Irr,56.7,17.9,1086610526,935337299,151273227,13.92156834
6_Roosevelt_NM,45460.68,9390.874,20,IrrToNon,30.6,33,154946109,121659738,33286371,21.4825472
6_Roosevelt_NM,45460.68,4633.22,10,IrrToPast,30.6,33,154946109,121659738,33286371,21.4825472
6_Roosevelt_NM,45460.68,31855.36,70,Irr,30.6,33,154946109,121659738,33286371,21.4825472
4_Texas_OK,98094.98,48205.5,49,IrrToNon,55.4,11.4,1279628015,1123041191,156586824,12.23690183
4_Texas_OK,98094.98,6203.962,6,IrrToPast,55.4,11.4,1279628015,1123041191,156586824,12.23690183
4_Texas_OK,98094.98,43775.15,45,Irr,55.4,11.4,1279628015,1123041191,156586824,12.23690183
2_Yuma_CO,123817.44,22142.951,18,IrrToNon,27.2,34.3,547564295,362547099,185017196,33.78912717
2_Yuma_CO,123817.44,11568.57,9,IrrToPast,27.2,34.3,547564295,362547099,185017196,33.78912717
2_Yuma_CO,123817.44,90143.16,73,Irr,27.2,34.3,547564295,362547099,185017196,33.78912717